End of Financial Year,Foreign Currency Assets (Rupees in crores),Foreign Currency Assets(USD in million),Gold(Rupee in crore),Gold(USD in million),Reserve Tranch Position(Rupee in crore),Reserve Tranch Position(USD in million),SDR(Rupee in crores),SDR(USD in million),Total(Rupees in crores),Total(USD in million)
2019-20   ,3333815,442213,230527,30578,27013,3583,10800,1433,3602155,477807
2018-19   ,2665564,385357,159585,23071,20657,2986,10076,1457,2855882,412871
2017-18   ,2597570,399442,139740,21484,13520,2079,10020,1540,2760850,424545
2016-17   ,2244940,346319,128830,19869,15050,2321,9380,1447,2398200,369955
2015-16   ,2219060,336104,133430,20115,16290,2456,9960,1502,2378740,360176
2014-15   ,1985460,317324,119160,19038,8080,1292,24940,3985,2137640,341638
2013-14   ,1660910,276359,129620,21567,11020,1834,26830,4464,1828380,304223
2012-13   ,1412630,259726,139740,25692,12510,2301,23540,4328,1588420,292046
2011-12   ,1330511,260069,138250,27023,14511,2836,22860,4469,1506130,294398
2010-11   ,1224883,274330,102572,22972,13158,2947,20401,4569,1361013,304818
2009-10   ,1149650,254685,81188,17986,6231,1380,22596,5006,1259665,279057
2008-09   ,1230066,241426,48793,9577,5000,981,6,1,1283865,251985
2007-08   ,1196023,299230,40124,10039,1744,436,74,18,1237965,309723
2006-07   ,836597,191924,29573,6784,2044,469,8,2,868222,199179
2005-06   ,647327,145108,25674,5755,3374,756,12,3,676387,151622
2004-05   ,593121,135571,19686,4500,6289,1438,20,5,619116,141514
2003-04   ,466215,107448,18216,4198,5688,1311,10,2,490129,112959
2002-03   ,341476,71890,16785,3534,3190,672,19,4,361470,76100
2001-02   ,249118,51049,14868,3047,,.,50,10,264036,54106
2000-01   ,184482,39554,12711,2725,,.,11,2,197204,42281
1999-00   ,152924,35058,12973,2974,,.,16,4,165913,38036
1998-99   ,125412,29522,12559,2960,,.,34,8,138005,32490
1997-98   ,102507,25975,13394,3391,,.,4,1,115905,29367
1996-97   ,80368,22367,14557,4054,,.,7,2,94932,26423
1995-96   ,58446,17044,15658,4561,,.,280,82,74384,21687
1994-95   ,66005,20809,13752,4370,,.,23,7,79780,25186
1993-94   ,47287,15068,12794,4078,,.,339,108,60420,19254
1992-93   ,20140,6434,10549,3380,,.,55,18,30744,9832
1991-92   ,14578,5631,9039,3499,,.,233,90,23850,9220
1990-91   ,4388,2236,6828,3496,,.,200,102,11416,5834
1989-90   ,5787,3368,281,487,,.,184,107,6252,3962
1988-89   ,6605,4226,274,473,,.,161,103,7040,4802
1987-88   ,7287,5618,274,508,,.,125,97,7686,6223
1986-87   ,7645,5924,274,471,,.,232,179,8151,6574
1985-86   ,7384,5972,274,417,,.,161,131,7819,6520
1984-85   ,6817,5482,246,325,,.,181,145,7243,5952
1983-84   ,5498,5099,226,320,,.,248,230,5972,5649
1982-83   ,4265,4281,226,324,,.,291,291,4782,4896
1981-82   ,3355,3582,226,335,,.,444,473,4025,4390
1980-81   ,4822,5850,226,370,,.,497,603,5545,6823
1979-80   ,5164,6324,225,375,,.,545,662,5934,7361
1978-79   ,5220,6421,220,377,,.,381,470,5821,7268
1977-78   ,4500,5305,193,319,,.,170,200,4863,5824
1976-77   ,2863,3240,188,290,,.,192,217,3243,3747
1975-76   ,1492,1657,183,281,,.,211,234,1886,2172
1974-75   ,610,782,183,304,,.,229,293,1022,1379
1973-74   ,581,736,183,293,,.,230,296,994,1325
1972-73   ,479,629,183,293,,.,226,297,888,1219
1971-72   ,480,661,183,264,,.,194,269,857,1194
1970-71   ,438,584,183,243,,.,112,148,733,975
1969-70   ,546,728,183,243,,.,92,123,821,1094
1968-69   ,394,526,183,243,,.,,-,577,769
1967-68   ,356,475,183,243,,.,,-,539,718
1966-67   ,296,395,183,243,,.,,-,479,638
1965-66   ,182,383,116,243,,.,,-,298,626
1964-65   ,116,243,134,281,,.,,-,250,524
1963-64   ,188,395,118,247,,.,,-,306,642
1962-63   ,177,372,118,247,,.,,-,295,619
1961-62   ,180,377,118,247,,.,,-,298,624
1960-61   ,186,390,118,247,,.,,-,304,637
1959-60   ,245,515,118,247,,.,,-,363,762
1958-59   ,261,548,118,247,,.,,-,379,795
1957-58   ,303,637,118,247,,.,,-,421,884
1956-57   ,563,1184,118,247,,.,,-,681,1431
1955-56   ,785,1648,118,247,,.,,-,903,1895
1954-55   ,774,1626,118,247,,.,,-,892,1873
1953-54   ,792,1664,118,247,,.,,-,910,1911
1952-53   ,763,1603,118,247,,.,,-,881,1850
1951-52   ,747,1568,118,247,,.,,-,865,1815
1950-51   ,911,1914,118,247,,.,,-,1029,2161
