Date,Cases,Recovered,ActiveCases,Deaths
2020-01-30,1,0,1,0
2020-02-02,2,0,2,0
2020-02-03,3,0,3,0
2020-02-16,3,2,1,0
2020-02-20,3,3,0,0
2020-03-09,9,3,6,0
2020-03-10,17,3,14,0
2020-03-12,19,3,16,0
2020-03-13,22,3,19,0
2020-03-15,24,3,21,0
2020-03-16,27,3,24,0
2020-03-19,28,3,25,0
2020-03-20,40,3,37,0
2020-03-21,52,3,49,0
2020-03-22,67,3,64,0
2020-03-23,95,4,91,0
2020-03-24,109,4,105,0
2020-03-25,118,6,112,0
2020-03-26,137,12,125,0
2020-03-27,176,12,164,0
2020-03-28,182,16,165,1
2020-03-29,202,20,181,1
2020-03-30,234,20,213,1
2020-03-31,241,24,215,2
2020-04-01,265,26,237,2
2020-04-02,286,28,256,2
2020-04-03,295,42,251,2
2020-04-04,306,50,254,2
2020-04-05,314,56,256,2
2020-04-06,327,59,266,2
2020-04-07,335,71,262,2
2020-04-08,344,84,258,2
2020-04-09,356,97,257,2
2020-04-10,363,124,237,2
2020-04-11,373,143,228,2
2020-04-12,375,179,194,2
2020-04-13,378,198,178,2
2020-04-14,386,211,173,2
2020-04-15,387,218,167,2
2020-04-16,394,245,147,2
2020-04-17,395,255,138,2
2020-04-18,399,257,140,2
2020-04-19,401,270,129,2
2020-04-20,407,291,114,2
2020-04-21,426,307,117,2
2020-04-22,437,308,127,2
2020-04-23,447,316,129,2
2020-04-24,450,331,116,3
2020-04-25,457,338,116,3
2020-04-26,468,342,123,3
2020-04-27,481,355,123,3
2020-04-28,485,359,123,3
2020-04-29,495,369,123,3
2020-04-30,497,383,111,3
2020-05-01,497,392,102,3
2020-05-02,499,400,96,3
2020-05-03,499,401,95,3
2020-05-04,499,462,34,3
2020-05-05,502,462,37,3
2020-05-06,502,469,30,3
2020-05-07,502,474,25,3
2020-05-08,503,484,16,3
2020-05-09,505,485,17,3
2020-05-10,512,489,20,3
2020-05-11,519,489,27,3
2020-05-12,524,489,32,3
2020-05-13,534,490,41,3
2020-05-14,560,493,64,3
2020-05-15,576,493,80,3
2020-05-16,587,497,87,3
2020-05-17,601,497,101,3
2020-05-18,630,497,130,3
2020-05-19,642,497,142,3
2020-05-20,666,502,161,3
2020-05-21,690,510,177,3
2020-05-22,732,512,216,4
2020-05-23,794,515,275,4
2020-05-24,847,520,322,5
2020-05-25,896,532,359,5
2020-05-26,963,542,415,6
2020-05-27,1003,552,445,6
2020-05-28,1088,555,526,7
2020-05-29,1150,565,577,8
2020-05-30,1208,575,624,9
2020-05-31,1269,590,670,9
2020-06-01,1326,608,708,10
2020-06-02,1412,627,774,11
2020-06-03,1494,651,832,11
2020-06-04,1588,690,884,14
2020-06-05,1699,712,972,14
2020-06-06,1807,762,1029,15
2020-06-07,1914,803,1095,15
2020-06-08,2005,814,1174,16
2020-06-09,2096,848,1231,16
2020-06-10,2161,905,1238,17
2020-06-11,2244,967,1258,18
2020-06-12,2322,999,1303,19
2020-06-13,2407,1045,1342,19
2020-06-14,2461,1101,1340,19
2020-06-15,2543,1174,1347,20
2020-06-16,2622,1234,1366,20
2020-06-17,2697,1324,1351,20
2020-06-18,2794,1413,1358,21
2020-06-19,2912,1509,1380,21
2020-06-20,3039,1566,1450,21
2020-06-21,3172,1659,1490,21
2020-06-22,3310,1747,1540,21
2020-06-23,3451,1807,1620,22
2020-06-24,3603,1888,1691,22
2020-06-25,3726,1941,1761,22
2020-06-26,3876,2006,1846,22
2020-06-27,4071,2108,1939,22
2020-06-28,4189,2150,2015,22
2020-06-29,4311,2229,2057,23
2020-06-30,4442,2304,2112,24
2020-07-01,4593,2436,2130,25
2020-07-02,4753,2638,2088,25
2020-07-03,4964,2839,2098,25
2020-07-04,5204,3048,2129,25
2020-07-05,5429,3174,2228,25
2020-07-06,5622,3341,2252,27
2020-07-07,5894,3452,2411,27
2020-07-08,6195,3559,2605,27
2020-07-09,6534,3708,2795,27
2020-07-10,6950,3820,3099,27
2020-07-11,7438,3963,3442,29
2020-07-12,7873,4095,3743,31
2020-07-13,8322,4257,4028,33
2020-07-14,8930,4438,4454,34
2020-07-15,9553,4634,4880,35
2020-07-16,10275,4862,5372,37
2020-07-17,11066,4995,6029,38
2020-07-18,11659,5199,6416,40
2020-07-19,12480,5371,7063,42
2020-07-20,13274,5616,7611,43
