Name,Award,Field,State/Country,Year
Dr. Sarvapalli Radhakrishnan,Bharat Ratna,Public Affairs,Tamil Nadu,1954
Shri Chakravarti Rajagopalachari,Bharat Ratna,Public Affairs,Tamil Nadu,1954
Shri Chandrasekhara Venkata Raman,Bharat Ratna,Science and Engineering,Tamil Nadu,1954
Dr. Satyendra Nath Bose,Padma Vibhushan,Literature and Education,West Bengal,1954
Dr. Zakir Husain,Padma Vibhushan,Public Affairs,Telangana,1954
Shri Bal Gangadhar Kher,Padma Vibhushan,Public Affairs,Maharashtra,1954
Shri Jigme Dorji Wangchuk,Padma Vibhushan,Public Affairs,Bhutan,1954
Shri Nandlal Bose,Padma Vibhushan,Art,West Bengal,1954
Shri V.K. Krishna Menon,Padma Vibhushan,Public Affairs,Kerala,1954
Dr. Arcot Lakshamanaswami Mudaliar,Padma Bhushan,Literature and Education,Tamil Nadu,1954
Dr. Homi Jehangir Bhabha,Padma Bhushan,Science and Engineering,Maharashtra,1954
Dr. Jnan Chandra Ghosh,Padma Bhushan,Science and Engineering,West Bengal,1954
Dr. K.S. Krishnan,Padma Bhushan,Science and Engineering,Tamil Nadu,1954
Dr. Shanti Swarup Bhatnagar,Padma Bhushan,Science and Engineering,Uttar Pradesh,1954
Late Smt. M.S. Subbalakshmi,Padma Bhushan,Art,Tamil Nadu,1954
Lt. (Col) Maharaj Kr. Palden T Namgyal,Padma Bhushan,Public Affairs,Punjab,1954
Lt. Gen. K.S. Thimayya,Padma Bhushan,Civil Service,Karnataka,1954
Shri Ajudhia Nath Khosla,Padma Bhushan,Science and Engineering,Delhi,1954
Shri Amarnath Jha,Padma Bhushan,Literature and Education,Uttar Pradesh,1954
Shri Jamini Roy,Padma Bhushan,Art,West Bengal,1954
Shri Josh Malihabadi,Padma Bhushan,Literature and Education,Delhi,1954
Shri Mahadeva Iyer Ganapati,Padma Bhushan,Civil Service,Odisha,1954
Shri Maithilisharan Gupta,Padma Bhushan,Literature and Education,Uttar Pradesh,1954
Shri Moulana Hussain Ahmad Madni,Padma Bhushan,Literature and Education,Punjab,1954
Shri Pandyala Satyanarayana Rau,Padma Bhushan,Civil Service,Telangana,1954
Shri R.R. Handa,Padma Bhushan,Civil Service,Punjab,1954
Shri Radha Krishna Gupta,Padma Bhushan,Civil Service,Delhi,1954
Shri Satya Narayana Shastri,Padma Bhushan,Medicine,Uttar Pradesh,1954
Shri Sukumar Sen,Padma Bhushan,Civil Service,West Bengal,1954
Shri V. Narahari Raooo,Padma Bhushan,Civil Service,Karnataka,1954
Shri V.L. Mehta,Padma Bhushan,Public Affairs,Gujarat,1954
Shri Vallathol Narayan Menon,Padma Bhushan,Literature and Education,Kerala,1954
Dr. Bir Bhan Bhatia,Padma Shri,Medicine,Delhi,1954
Dr. Mathra Das,Padma Shri,Medicine,Assam,1954
Dr. Vasant Ramji Khanolkar,Padma Shri,Medicine,Maharashtra,1954
Kum. Amalprava Das,Padma Shri,Public Affairs,Assam,1954
Major S.P.Patil Thorat,Padma Shri,Civil Service,Maharashtra,1954
Shri Akhil Chandra Mitra,Padma Shri,Science and Engineering,Uttar Pradesh,1954
Shri Apa Saheb Bala Saheb Pant,Padma Shri,Civil Service,Maharashtra,1954
Shri K.R. Chakravarty,Padma Shri,Science and Engineering,West Bengal,1954
Shri Machani Somappa,Padma Shri,Public Affairs,Andhra Pradesh,1954
Shri Shankar Pillai,Padma Shri,Literature and Education,Delhi,1954
Shri Surinder Kumar Dey,Padma Shri,Civil Service,West Bengal,1954
Shri Tarlok Singh,Padma Shri,Civil Service,Punjab,1954
Smt. Achamma Mathai,Padma Shri,Public Affairs,Maharashtra,1954
Smt. Asha Devi Aryanayakam,Padma Shri,Public Affairs,Maharashtra,1954
